Produto,Variação 1,Variação 2, Preço,Variação 4,SKU,Pronto,Estampa,RDX,Material,Tamanho/Medidas,Nome Pasta,Link Artes,Imagem para encontrar,Link da Imagem,Imagem Encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00073,ok,Arquiteto(a),Sim,Porcelana,325ml,catura,P00073,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00081,ok,Educacao Fisica,Sim,Porcelana,325ml,catura,P00081,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00082,ok,Enfermeiro(a),Sim,Porcelana,325ml,catura,P00082,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00085,ok,Farmaceutico(a),Sim,Porcelana,325ml,catura,P00085,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00090,ok,Medico(a),Sim,Porcelana,325ml,catura,P00090,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00094,ok,Professor(a),Sim,Porcelana,325ml,catura,P00094,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00100,ok,Veterinario(a),Sim,Porcelana,325ml,catura,P00100,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00101,ok,Sr e Sra,Sim,Porcelana,325ml,Avatar,P00101,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00102,ok,Pesca,Sim,Porcelana,325ml,Avatar,P00102,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00103,ok,Noivo e Noiva na Moto,Sim,Porcelana,325ml,Avatar,P00103,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00104,ok,Super Chefe,Sim,Porcelana,325ml,Avatar,P00104,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00105,ok,Pescador,Sim,Porcelana,325ml,Avatar,P00105,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00106,ok,Tenista,Sim,Porcelana,325ml,Avatar,P00106,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00107,ok,Logomarca,Sim,Porcelana,325ml,Avatar,P00107,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00109,ok,Corredor(a),Sim,Porcelana,325ml,Avatar,P00109,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00110,ok,Fitness,Sim,Porcelana,325ml,Avatar,P00110,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00111,ok,Basquete,Sim,Porcelana,325ml,Avatar,P00111,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00113,ok,Corredora,Sim,Porcelana,325ml,Avatar,P00113,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00114,ok,Administrador(a),Sim,Porcelana,325ml,Avatar,P00114,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00115,ok,Bombeiro,Sim,Porcelana,325ml,Avatar,P00115,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00117,ok,Chef de Cozinha,Sim,Porcelana,325ml,Avatar,P00117,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00118,ok,Enfermagem,Sim,Porcelana,325ml,Avatar,P00118,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00119,ok,Engenheiro(a),Sim,Porcelana,325ml,Avatar,P00119,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",Com Avatar,01.P00120,ok,Futebol,Sim,Porcelana,325ml,Avatar,P00120,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00123,ok,Administador(a) de Empresas,Sim,Porcelana,325ml,catura,P00123,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00125,ok,Agronomia,Sim,Porcelana,325ml,catura,P00125,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00126,ok,Arquiteto(a),Sim,Porcelana,325ml,catura,P00126,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00135,ok,Enfermeiro(a),Sim,Porcelana,325ml,catura,P00135,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00136,ok,Engenheiro(a),Sim,Porcelana,325ml,catura,P00136,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00143,ok,Medico(a),Sim,Porcelana,325ml,catura,P00143,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00144,ok,Nutricionista,Sim,Porcelana,325ml,catura,P00144,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00149,ok,Psicologo(a),Sim,Porcelana,325ml,catura,P00149,,,Pasta não encontrada
