SKU,Produto,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Estampa, Preço,Imagem para encontrar,Link da Imagem
01.P00135,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Enfermeiro(a)," R$  34,90 ",,
01.P00016,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Engenheiro(a)," R$  34,90 ",,
01.P00048,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Engenheiro(a)," R$  39,90 ",,
01.P00119,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Engenheiro(a)," R$  39,90 ",,
01.P00136,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Engenheiro(a)," R$  34,90 ",,
01.P00218,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Engenheiro(a)," R$  39,90 ",,
01.P00085,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Farmaceutico(a)," R$  34,90 ",,
01.P00169,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Farmaceutico(a)," R$  34,90 ",,
01.P00019,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Fisioterapeuta," R$  34,90 ",,
03.P00018,Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml,Com Caricatura,Aluminio,600ml,Fisioterapeuta," R$  59,90 ",,
01.P00110,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Fitness," R$  39,90 ",,
01.P00020,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Fonoaudiologo(a)," R$  34,90 ",,
03.P00019,Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml,Com Caricatura,Aluminio,600ml,Fonoaudiologo(a)," R$  59,90 ",,
01.P00120,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Futebol," R$  39,90 ",,
01.P00220,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Guitarrista," R$  39,90 ",,
01.P00217,Caneca,Personalizada,Caneca Branca Alca Preta 325ml,Com Avatar,Porcelana,325ml,Jiu Jitsu," R$  44,90 ",,
01.P00107,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Logomarca," R$  39,90 ",,
01.P00023,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Medico(a)," R$  34,90 ",,
01.P00055,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Medico(a)," R$  39,90 ",,
01.P00090,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Medico(a)," R$  34,90 ",,
01.P00143,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Medico(a)," R$  34,90 ",,
01.P00174,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Medico(a)," R$  34,90 ",,
01.P00206,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Medico(a)," R$  34,90 ",,
03.P00022,Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml,Com Caricatura,Aluminio,600ml,Medico(a)," R$  59,90 ",,
01.P00221,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Natacao," R$  39,90 ",,
01.P00103,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Noivo e Noiva na Moto," R$  39,90 ",,
01.P00024,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Nutricionista," R$  34,90 ",,
01.P00056,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Nutricionista," R$  39,90 ",,
01.P00144,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Nutricionista," R$  34,90 ",,
01.P00175,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Nutricionista," R$  34,90 ",,
03.P00023,Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml,Com Caricatura,Aluminio,600ml,Nutricionista," R$  59,90 ",,
01.P00001,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Personalizacoes Diversas," R$  34,90 ",,
01.P00034,Caneca,Personalizada,Caneca Magica 325ml,Com Foto,Porcelana,325ml,Personalizacoes Diversas," R$  39,90 ",,
01.P00066,Caneca,Personalizada,Caneca Branca 325ml,Com Logo e Caricatura,Porcelana,325ml,Personalizacoes Diversas," R$  34,90 ",,
01.P00068,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura e Nome,Porcelana,325ml,Personalizacoes Diversas," R$  34,90 ",,
01.P00475,Caneca,Personalizada,Caneca Branca 100ml,Com Avatar,Porcelana,100ml,Personalizacoes Diversas," R$  42,90 ",,
01.P00476,Caneca,Personalizada,Caneca Branca 100ml,Com Caricatura e Logo,Porcelana,100ml,Personalizacoes Diversas," R$  36,90 ",,
01.P00477,Caneca,Personalizada,Caneca Branca 100ml,Com Caricatura,Porcelana,100ml,Personalizacoes Diversas," R$  36,90 ",,
01.P00481,Caneca,Personalizada,Caneca de Chopp Aluminio 600ml,Com Caricatura e Nome,Aluminio,600ml,Personalizacoes Diversas," R$  39,90 ",,
01.P00482,Caneca,Personalizada,Caneca de Chopp Aluminio 600ml,Com Caricatura e Logo,Aluminio,600ml,Personalizacoes Diversas," R$  39,90 ",,
01.P00487,Caneca,Personalizada,Caneca Preta 325ml,Com Caricatura,Porcelana,325ml,Personalizacoes Diversas," R$  49,90 ",,
11.P00001,Copo Termico,Personalizado,Copo Termico 473ml,Com Caricatura,Aluminio,473ml,Personalizacoes Diversas," R$  69,90 ",,
11.P00003,Copo Termico,Personalizado,Copo Termico 473ml,Com Caricatura e Nome,Aluminio,473ml,Personalizacoes Diversas," R$  69,90 ",,
10.P00001,Garrafa Termica,Personalizada,Garrafara Termica Digital 500ml,Com Caricatura,Aluminio,500ml,Personalizacoes Diversas," R$  79,90 ",,
10.P00003,Garrafa Termica,Personalizada,Garrafara Termica Digital 500ml,Com Caricatura e Nome,Aluminio,500ml,Personalizacoes Diversas," R$  79,90 ",,
01.P00102,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Pesca," R$  39,90 ",,
01.P00105,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Pescador," R$  39,90 ",,
01.P00027,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Professor(a)," R$  34,90 ",,
01.P00059,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Professor(a)," R$  39,90 ",,
01.P00094,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Professor(a)," R$  34,90 ",,
01.P00178,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Professor(a)," R$  34,90 ",,
