Produto,Variação 1,Variação 2,Preço,SKU,Estampa,Material,Tamanho/Medidas,Título,Descrição,Link da Imagem
Cueca,Estampa Pronta,Cueca Branca Poliester," R$  49,90 ",07.P00002,Cristiano Ronaldo e Messi,Poliester,P M G GG,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/07. Cuecas/P00002/Cueca Padrão - Mockup Cristiano e Messi.png?raw=true
Cueca,Estampa Pronta,Cueca Branca Poliester," R$  49,90 ",07.P00003,Ronaldo e Romario,Poliester,P M G GG,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/07. Cuecas/P00003/Cueca Padrão - Mockup fenomeno e romario.png?raw=true
Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml," R$  59,90 ",03.P00002,Administador(a) de Empresas,Aluminio,600ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/03. Squeeze/P00002/Administração (4).jpg?raw=true
Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml," R$  59,90 ",03.P00003,Advogado,Aluminio,600ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/03. Squeeze/P00003/Direito (1).jpg?raw=true
Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml," R$  59,90 ",03.P00013,Educacao Fisica,Aluminio,600ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/03. Squeeze/P00013/Educação Física (3).jpg?raw=true
Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml," R$  59,90 ",03.P00018,Fisioterapeuta,Aluminio,600ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/03. Squeeze/P00018/Fisioterapia (2).jpg?raw=true
Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml," R$  59,90 ",03.P00019,Fonoaudiologo(a),Aluminio,600ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/03. Squeeze/P00019/Fonoaudiologia (1).jpg?raw=true
Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml," R$  59,90 ",03.P00022,Medico(a),Aluminio,600ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/03. Squeeze/P00022/Medicina (4).jpg?raw=true
Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml," R$  59,90 ",03.P00023,Nutricionista,Aluminio,600ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/03. Squeeze/P00023/Nutrição (4).jpg?raw=true
Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml," R$  59,90 ",03.P00026,Professor(a),Aluminio,600ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/03. Squeeze/P00026/Professor (2).jpg?raw=true
Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml," R$  59,90 ",03.P00031,Tecnico(a) em Enfermagem,Aluminio,600ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/03. Squeeze/P00031/Tecnico Enfermagem (4).jpg?raw=true
Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml," R$  59,90 ",03.P00035,Com Caricatura e Nome,Aluminio,600ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/03. Squeeze/P00035/WhatsApp Image 2024-09-09 at 15.35.41.jpeg?raw=true
